path	declared_size	packed_size	encrypted	method
fastboot/A2H-0005-0-00WW-A01.mlf	8319	1424	yes	v6:m3:32M AES:15:3
fastboot/A2H-00WW-001-sutinfo.img	55	64	yes	v6:m3:32M AES:15:3
fastboot/A2H-00WW-002-keyinfo.img	200	176	yes	v6:m3:32M AES:15:3
fastboot/abl.elf	151552	123408	yes	v6:m3:32M AES:15:3
fastboot/adb.exe	5462626	1659392	yes	v6:m3:32M AES:15:3
fastboot/AdbWinApi.dll	96256	42960	yes	v6:m3:32M AES:15:3
fastboot/AdbWinUsbApi.dll	60928	27264	yes	v6:m3:32M AES:15:3
fastboot/adspso.bin	16777216	3129136	yes	v6:m3:32M AES:15:3
fastboot/android-info.txt	14	32	yes	v6:m3:32M AES:15:3
fastboot/boot.img	46495016	24565696	yes	v6:m3:32M AES:15:3
fastboot/BTFM.bin	421888	142768	yes	v6:m3:32M AES:15:3
fastboot/build.prop	4147	1760	yes	v6:m3:32M AES:15:3
fastboot/cmnlib.mbn	226632	122112	yes	v6:m3:32M AES:15:3
fastboot/cmnlib64.mbn	299736	146144	yes	v6:m3:32M AES:15:3
fastboot/devcfg.mbn	58204	14560	yes	v6:m3:32M AES:15:3
fastboot/fastboot.exe	1339392	498832	yes	v6:m3:32M AES:15:3
fastboot/flash_a2h_keep_userdata_linux.sh	2633	848	yes	v6:m3:32M AES:15:3
fastboot/flash_a2h_keep_userdata_windows.bat	3902	736	yes	v6:m3:32M AES:15:3
fastboot/flash_a2h_linux.sh	2628	848	yes	v6:m3:32M AES:15:3
fastboot/flash_a2h_windows.bat	3919	736	yes	v6:m3:32M AES:15:3
fastboot/gpt_backup0.bin	20480	768	yes	v6:m3:32M AES:15:3
fastboot/gpt_backup1.bin	20480	224	yes	v6:m3:32M AES:15:3
fastboot/gpt_backup2.bin	20480	224	yes	v6:m3:32M AES:15:3
fastboot/gpt_backup3.bin	20480	272	yes	v6:m3:32M AES:15:3
fastboot/gpt_backup4.bin	20480	2176	yes	v6:m3:32M AES:15:3
fastboot/gpt_backup5.bin	20480	656	yes	v6:m3:32M AES:15:3
fastboot/gpt_both0.bin	45056	816	yes	v6:m3:32M AES:15:3
fastboot/gpt_both1.bin	45056	272	yes	v6:m3:32M AES:15:3
fastboot/gpt_both2.bin	45056	272	yes	v6:m3:32M AES:15:3
fastboot/gpt_both3.bin	45056	336	yes	v6:m3:32M AES:15:3
fastboot/gpt_both4.bin	45056	2224	yes	v6:m3:32M AES:15:3
fastboot/gpt_both5.bin	45056	704	yes	v6:m3:32M AES:15:3
fastboot/gpt_main0.bin	24576	784	yes	v6:m3:32M AES:15:3
fastboot/gpt_main1.bin	24576	240	yes	v6:m3:32M AES:15:3
fastboot/gpt_main2.bin	24576	240	yes	v6:m3:32M AES:15:3
fastboot/gpt_main3.bin	24576	304	yes	v6:m3:32M AES:15:3
fastboot/gpt_main4.bin	24576	2192	yes	v6:m3:32M AES:15:3
fastboot/gpt_main5.bin	24576	672	yes	v6:m3:32M AES:15:3
fastboot/hyp.mbn	270336	89216	yes	v6:m3:32M AES:15:3
fastboot/installed-files.txt	231611	38112	yes	v6:m3:32M AES:15:3
fastboot/keymaster.mbn	382016	164064	yes	v6:m3:32M AES:15:3
fastboot/keymaster64.mbn	316072	119488	yes	v6:m3:32M AES:15:3
fastboot/lksecapp.mbn	53296	16432	yes	v6:m3:32M AES:15:3
fastboot/logfs_ufs_8mb.bin	16384	656	yes	v6:m3:32M AES:15:3
fastboot/mdtp.img	17808306	337648	yes	v6:m3:32M AES:15:3
fastboot/mdtpsecapp.mbn	1078864	389792	yes	v6:m3:32M AES:15:3
fastboot/misc.img	8	32	yes	v6:m3:32M AES:15:3
fastboot/NON-HLOS.bin	109105152	43252768	yes	v6:m3:32M AES:15:3
fastboot/otafs_ufs_2gb.img	36364976	4128	yes	v6:m3:32M AES:15:3
fastboot/partition.xml	14104	3152	yes	v6:m3:32M AES:15:3
fastboot/patch0.xml	6263	752	yes	v6:m3:32M AES:15:3
fastboot/patch1.xml	6263	752	yes	v6:m3:32M AES:15:3
fastboot/patch2.xml	6263	736	yes	v6:m3:32M AES:15:3
fastboot/patch3.xml	6263	752	yes	v6:m3:32M AES:15:3
fastboot/patch4.xml	6271	752	yes	v6:m3:32M AES:15:3
fastboot/persist.img	33554432	8784	yes	v6:m3:32M AES:15:3
fastboot/pmic.elf	51136	13104	yes	v6:m3:32M AES:15:3
fastboot/prog_ufs_firehose_8998_ddr.elf	597168	207088	yes	v6:m3:32M AES:15:3
fastboot/provision_samsung.xml	2761	768	yes	v6:m3:32M AES:15:3
fastboot/ramdisk.img	1905816	1905120	yes	v6:m3:32M AES:15:3
fastboot/rawprogram0.xml	4451	688	yes	v6:m3:32M AES:15:3
fastboot/rawprogram1.xml	1296	432	yes	v6:m3:32M AES:15:3
fastboot/rawprogram2.xml	1296	432	yes	v6:m3:32M AES:15:3
fastboot/rawprogram3.xml	1553	448	yes	v6:m3:32M AES:15:3
fastboot/rawprogram_unsparse0.xml	25163	1536	yes	v6:m3:32M AES:15:3
fastboot/rawprogram_unsparse4.xml	19924	1472	yes	v6:m3:32M AES:15:3
fastboot/rpm.mbn	233668	112656	yes	v6:m3:32M AES:15:3
fastboot/splash.img	11075640	2573248	yes	v6:m3:32M AES:15:3
fastboot/storsec.mbn	49176	15024	yes	v6:m3:32M AES:15:3
fastboot/system.img	3746394440	1590401920	yes	v6:m3:32M AES:15:3
fastboot/tz.mbn	1912832	458640	yes	v6:m3:32M AES:15:3
fastboot/userdata.img	5756588	246384	yes	v6:m3:32M AES:15:3
fastboot/vendor.img	593264872	179269216	yes	v6:m3:32M AES:15:3
fastboot/version.txt	28	48	yes	v6:m3:32M AES:15:3
fastboot/Ver_info.txt	1109	560	yes	v6:m3:32M AES:15:3
fastboot/xbl.elf	2686892	1833344	yes	v6:m3:32M AES:15:3
fastboot/_CMD.bat	20	32	yes	v6:m3:32M AES:15:3
fastboot/_UnlockBootloader.txt	24	32	yes	v6:m3:32M AES:15:3
fastboot	0	0	no	v6:m0
