path	size_bytes	sha256	file_type
A2H-0005-0-00WW-A01.mlf	8319	274791a41d0fe3599d8fe2507e2b3a5ad8eec1b92078e813c8b0e0833e9b168b	ASCII text
A2H-00WW-001-sutinfo.img	55	4f55bceb5193f69a5f832172b076903e4dbb77a5302f7277c5c5683992327aaf	ASCII text, with no line terminators
A2H-00WW-002-keyinfo.img	200	3b19fcca686c02d1a71dfb202acca81afa1545a4ac72357feb8321a2342edefa	CSV ASCII text
abl.elf	151552	4d3d2c15b2bbfc383f822fab9e1e491780da9f3c88d1852f7245c621a8233a9a	ELF 32-bit LSB executable, ARM, version 1 (SYSV), statically linked, no section header
adb.exe	1868800	e39e25bbed119156cd975bf85e446e8a5d592fd928fedd667e0e548845e20734	PE32 executable for MS Windows 4.00 (console), Intel i386 (stripped to external PDB), 9 sections
adspso.bin	16777216	d0c8b604dd7081cf9e2d94dd5b57d99bca99141a207791fe36901f9886dd4467	Linux rev 1.0 ext4 filesystem data, UUID=af32c008-2a39-7e5b-a5dc-201456d93103, volume name "dsp" (extents) (large files)
android-info.txt	14	ab18b8814be4b52813aa3f6fde650c4e0b87b85d50ea89119e003725201a1456	ASCII text
boot.img	46495016	8e120a2920f5d4eec65cb5929d31fe271738af85b218d5adb96035eb28806af6	Android bootimg, kernel (0x8000), ramdisk (0x1000000), page size: 4096, cmdline (console=ttyMSM0,115200,n8 androidboot.console=ttyMSM0 earlycon=msm_serial_dm,0xc1b0000 androidboot.hardware=qcom user_debug=31 )
BTFM.bin	421888	8cf8b8816569e053ab4336dff6908ae5e93ed5051040600a41a764538ba5389e	DOS/MBR boot sector, code offset 0x3c+2, OEM-ID "MSDOS5.0", Bytes/sector 4096, sectors/cluster 4, root entries 512, Media descriptor 0xf8, sectors/FAT 3, sectors/track 63, heads 255, sectors 16384 (volumes > 32 MB), serial number 0xbc614e, unlabeled, FAT (16 bit)
build.prop	4147	11ac6401f766b8a7f95a860817e05059d398f2a6d0d474664ee3dd1bbc52d545	ASCII text
cmnlib.mbn	226632	b48a7ccbb95f793ce569ee28c6ece7455f114cfd81baa678b34737b6acf2c7a8	ELF 32-bit LSB shared object, ARM, EABI5 version 1 (SYSV), dynamically linked, no section header
